idno,litter_size,number_male,number_female,sire
1141,7,1,5,5709
1205,6,1,2,4060
924,6,3,3,381
1210,5,1,0,1407
936,8,3,4,1754
957,6,2,1,3056
1139,9,5,3,4067
965,10,7,3,3069
1086,2,1,1,3849
1125,6,2,2,3145
921,10,4,6,3126
1206,5,0,2,3142
910,5,2,3,2201
1167,7,2,4,3066
1044,5,4,1,2007
1002,8,6,2,1226
1089,9,4,5,2822
1133,6,1,4,875
1179,8,3,3,5872
1177,8,0,6,2558
987,4,3,1,1226
1010,6,3,3,4069
922,6,2,0,3624
1143,7,1,4,4068
1168,7,1,5,4067
1158,4,2,1,4072
1059,7,2,5,4076
1211,12,3,4,2378
1053,4,3,1,4062
983,3,1,2,1684
1040,6,2,4,1684
1013,6,4,2,4063
1058,7,4,3,2189
1071,5,2,3,5710
1137,5,0,4,2744
946,8,2,1,2709
939,6,0,2,410
964,4,3,1,2335
1006,7,0,1,338
1163,5,2,2,2547
1012,5,2,3,5707
1025,6,3,3,2359
1094,8,4,4,340
996,1,1,0,6090
1049,6,4,2,4073
960,1,0,1,4063
917,5,3,2,4065
944,1,1,0,4082
1201,7,2,2,4071
1151,8,6,1,4062
1003,1,1,0,2506
1202,9,3,3,3197
1136,8,3,4,4072
1055,4,3,1,3228
959,4,2,2,4079
945,5,3,2,4059
1065,6,3,3,372
1046,7,5,2,41
1120,2,2,0,5712
1091,5,1,4,1321
1027,7,3,4,790
1124,8,0,4,5711
948,6,2,4,2511
1160,6,2,3,1827
1017,5,1,4,1198
1129,3,1,1,4476
896,9,1,4,1752
995,8,5,3,1197
1041,5,3,2,4067
1043,6,2,4,1078
1123,7,2,2,1480
904,7,4,2,2201
1149,7,4,2,1557
926,6,1,5,4476
1018,6,2,4,964
1035,3,3,0,2096
1209,6,2,0,211
1034,6,3,3,1871
929,8,3,5,1766
1075,7,4,3,2585
1031,5,1,4,372
1047,7,3,4,2071
1119,2,1,1,2709
969,5,2,3,3399
1107,7,3,2,2585
956,7,2,5,4067
954,5,1,4,2522
1130,6,1,4,4067
1026,7,4,3,1825
1021,7,3,4,4077
1045,4,1,3,1198
997,2,1,1,3392
1121,5,4,1,677
1097,6,2,4,2744
1176,10,1,2,5710
1145,4,1,2,4063
1173,7,1,5,4069
1110,7,0,7,3525
1056,2,0,2,4063
1171,4,2,1,261
970,7,2,5,1261
1116,3,1,2,261
1015,6,2,4,1140
903,4,2,2,4061
1188,3,0,1,2840
1162,7,1,5,4059
935,4,3,1,5716
992,6,3,2,3171
932,8,4,4,4067
1096,6,3,2,1063
1212,8,0,4,1321
1024,7,4,3,1827
1036,7,2,5,909
990,2,0,1,3619
1196,6,3,1,2576
1170,6,1,4,2359
1109,5,4,1,1289
1186,5,1,2,41
952,6,2,4,4081
1061,7,1,6,5712
982,6,4,2,5871
1095,7,4,3,4063
1150,8,7,0,4074
1117,6,1,5,2125
930,7,4,3,41
1155,7,4,2,3197
1114,5,4,1,4062
1080,5,3,2,4081
1066,4,3,1,1856
1074,9,6,3,1856
1166,7,2,4,5710
928,4,2,2,1825
912,4,1,3,3126
1088,5,3,2,3380
1111,5,0,5,2074
972,8,0,8,5710
974,6,3,3,4080
1042,4,3,1,1226
934,7,3,4,4066
1079,5,3,2,1063
923,8,2,6,2131
918,7,3,4,4068
1180,10,5,3,4065
958,2,1,1,2353
976,5,1,1,3005
933,1,1,0,3548
911,5,3,2,4079
1200,9,2,4,2744
961,6,3,3,2125
1005,7,4,3,4063
1103,7,5,2,4062
1148,6,1,4,3043
971,5,0,5,13
953,6,3,3,829
962,4,2,2,4079
1073,7,2,5,875
1134,4,1,0,4069
973,8,5,3,5710
905,7,3,4,263
955,9,5,4,5710
993,6,4,2,2230
902,3,2,1,1341
1189,7,4,1,167
937,7,4,3,2701
1181,6,2,2,774
1182,8,5,1,4073
1174,4,2,1,5708
1038,3,3,0,4064
920,8,4,4,1827
1113,7,1,2,2744
1077,4,1,3,2189
1194,6,1,3,2444
1187,8,2,4,1599
1198,5,2,1,53
966,5,4,1,1752
985,7,2,5,4072
1051,8,6,2,3145
931,4,1,3,2485
1152,7,3,3,3126
1138,6,2,3,2511
1213,7,0,3,2585
1185,10,3,5,1827
1000,6,3,3,4067
1146,8,1,2,170
895,5,3,2,221
977,7,3,4,1915
1050,3,1,2,4079
1102,3,1,2,3556
998,3,0,3,4403
1132,4,1,2,3367
1104,7,4,3,4070
1203,6,1,2,209
1161,6,1,4,3219
963,7,4,3,2131
1190,5,2,1,3399
909,7,2,5,2007
914,9,4,5,3489
1215,13,1,6,875
1022,7,4,3,3367
1016,8,6,2,2353
1101,6,2,4,13
1033,7,5,2,261
906,3,2,1,4069
1197,3,0,1,513
908,3,1,2,201
1105,4,3,1,4064
1178,7,2,0,1456
949,4,2,2,4081
1083,8,4,4,1078
1069,3,1,2,25
1030,8,4,4,4079
1100,6,4,2,1548
1106,4,2,2,1147
897,6,3,3,5706
1208,9,2,3,3619
1092,8,3,5,4069
1054,7,3,3,5708
1023,8,5,3,3059
1165,8,4,3,2665
1067,6,2,4,1078
1001,6,3,3,4067
986,4,4,0,4078
898,6,4,2,2007
1060,6,3,3,3086
1140,7,5,1,2496
1157,7,5,1,2071
1029,5,2,3,4076
1126,3,2,0,724
1070,6,1,4,4067
978,1,0,1,4064
1199,8,2,3,5710
942,6,4,2,3620
1008,5,1,4,5873
980,7,3,4,5715
1009,8,4,4,829
994,6,5,1,1827
915,6,1,1,410
940,8,4,4,1102
1192,8,0,6,5714
1193,5,3,0,3288
894,1,0,1,3618
991,6,4,2,4070
1127,8,5,2,714
1084,9,1,8,527
1164,6,1,4,41
1153,5,1,1,4073
1068,6,1,5,41
988,6,4,2,1825
1135,4,2,1,3171
1063,5,0,5,2819
1122,2,1,1,5705
1144,5,2,2,4064
1156,9,2,3,4073
1032,6,2,4,1102
1131,6,3,2,2335
938,4,2,2,4070
927,5,3,2,783
1082,3,2,1,5705
984,2,0,2,3115
1159,5,3,0,1738
1076,6,4,2,2510
979,4,2,2,829
1048,5,3,2,2983
916,8,4,4,2800
1090,4,2,2,1077
1039,8,5,3,1226
1020,7,3,4,3368
1019,9,5,4,1871
1175,6,2,2,4079
1112,4,2,2,1006
901,4,0,2,5713
913,9,2,7,1648
943,7,5,2,4068
1154,3,1,1,1458
951,9,3,6,4059
989,4,3,1,3145
1098,1,0,1,1826
1142,7,2,4,2407
1064,5,1,4,3380
1169,4,1,2,2686
941,12,5,7,169
975,6,2,4,4073
1214,6,0,1,210
968,9,3,6,4070
1118,1,0,1,1274
1093,7,2,5,4063
899,8,5,3,1102
919,5,3,2,4076
967,9,6,3,4065
1052,8,4,4,2606
907,10,6,4,4079
1062,7,2,5,592
1087,6,2,4,1548
1183,4,1,1,4063
981,7,5,2,2073
1184,7,3,2,4082
1028,6,3,3,572
1085,4,3,1,1827
1191,6,1,3,676
1004,3,1,2,2219
925,9,2,7,5710
950,7,3,4,4068
1108,5,3,2,1321
1099,6,4,2,4075
1011,6,2,4,1077
1228,8,4,4,4555
1217,7,3,4,1001
1243,3,0,1,4216
1232,6,1,5,5391
1220,5,3,2,4894
1240,3,1,1,99
1241,5,2,2,1163
1224,7,3,4,5343
1222,3,2,1,4264
1218,4,3,1,500
1221,7,5,2,5073
1235,3,1,2,3205
1230,5,2,3,2414
1237,8,4,3,3111
1226,5,3,2,99
1231,4,0,4,2321
1223,6,4,2,5491
1233,6,4,2,1001
